width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,task,response_type,key_press,avg_frame_time,center_x,center_y,color,text,is_congruent,duration,is_soa,correct_response,is_correct,reaction_time
,,,,,,,,,,,psychophysics,93,182109,0.0-6.0-1.13,728,,y,response,key,y,16.66666667,500,400,Yellow,Yellow,TRUE,0,FALSE,Y,TRUE,728
,,,,,,,,,,,html-keyboard-response,94,182610,0.0-6.0-2.13,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,95,183113,0.0-6.0-0.14,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,96,184958,0.0-6.0-1.14,1339,,b,response,key,b,16.58227848,500,400,Blue,Blue,TRUE,0,FALSE,B,TRUE,1339
,,,,,,,,,,,html-keyboard-response,97,185459,0.0-6.0-2.14,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,98,185960,0.0-6.0-0.15,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,99,187910,0.0-6.0-1.15,1440,,g,response,key,g,16.6547619,500,400,Green,Green,TRUE,0,FALSE,G,TRUE,1440
,,,,,,,,,,,html-keyboard-response,100,188411,0.0-6.0-2.15,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,101,188913,0.0-6.0-0.16,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,102,190520,0.0-6.0-1.16,1102,,y,response,key,y,16.61538462,500,400,Yellow,Green,FALSE,200,TRUE,Y,TRUE,902
,,,,,,,,,,,html-keyboard-response,103,191022,0.0-6.0-2.16,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,104,191524,0.0-6.0-0.17,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,105,193344,0.0-6.0-1.17,1314,,b,response,key,b,16.65384615,500,400,Blue,Blue,TRUE,200,TRUE,B,TRUE,1114
,,,,,,,,,,,html-keyboard-response,106,193846,0.0-6.0-2.17,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,107,194347,0.0-6.0-0.18,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,108,196060,0.0-6.0-1.18,1208,,g,response,key,g,16.57746479,500,400,Green,Green,TRUE,200,TRUE,G,TRUE,1008
,,,,,,,,,,,html-keyboard-response,109,196563,0.0-6.0-2.18,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,110,197064,0.0-6.0-0.19,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,111,198272,0.0-6.0-1.19,702,,y,response,key,y,16.68292683,500,400,Yellow,Yellow,TRUE,0,FALSE,Y,TRUE,702
,,,,,,,,,,,html-keyboard-response,112,198774,0.0-6.0-2.19,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,113,199275,0.0-6.0-0.20,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,114,200642,0.0-6.0-1.20,857,,y,response,key,y,16.54,500,400,Yellow,Yellow,TRUE,200,TRUE,Y,TRUE,657
,,,,,,,,,,,html-keyboard-response,115,201144,0.0-6.0-2.20,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,116,201646,0.0-6.0-0.21,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,117,203425,0.0-6.0-1.21,1275,,r,response,key,r,16.66666667,500,400,Red,Green,FALSE,200,TRUE,R,TRUE,1075
,,,,,,,,,,,html-keyboard-response,118,203928,0.0-6.0-2.21,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,119,204430,0.0-6.0-0.22,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,120,205785,0.0-6.0-1.22,850,,r,response,key,r,16.56,500,400,Red,Red,TRUE,200,TRUE,R,TRUE,650
,,,,,,,,,,,html-keyboard-response,121,206286,0.0-6.0-2.22,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
