"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"673","","b","psychophysics","128","114382","0.0-5.0-1.33","","response","B","true","key","b","16.68192857142865","500","400","Blue","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","129","114885","0.0-5.0-2.33","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","130","115388","0.0-5.0-0.34","","fixation","","","","","","","","","",""
"807","","r","psychophysics","131","116720","0.0-5.0-1.34","","response","R","true","key","r","16.69224489795915","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","132","117224","0.0-5.0-2.34","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","133","117726","0.0-5.0-0.35","","fixation","","","","","","","","","",""
"581","","r","psychophysics","134","118833","0.0-5.0-1.35","","response","R","true","key","r","16.679583333333238","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","135","119335","0.0-5.0-2.35","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","136","119836","0.0-5.0-0.36","","fixation","","","","","","","","","",""
"441","","b","psychophysics","137","120789","0.0-5.0-1.36","","response","B","true","key","b","16.683481481481405","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","138","121292","0.0-5.0-2.36","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","139","121793","0.0-5.0-0.37","","fixation","","","","","","","","","",""
"614","","y","psychophysics","140","122927","0.0-5.0-1.37","","response","G","false","key","y","16.680263157894508","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","141","123430","0.0-5.0-2.37","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","142","123932","0.0-5.0-0.38","","fixation","","","","","","","","","",""
"952","","g","psychophysics","143","125396","0.0-5.0-1.38","","response","G","true","key","g","16.683438596491325","500","400","Green","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","144","125898","0.0-5.0-2.38","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","145","126401","0.0-5.0-0.39","","fixation","","","","","","","","","",""
"506","","g","psychophysics","146","127430","0.0-5.0-1.39","","response","G","true","key","g","16.680999999999674","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","147","127933","0.0-5.0-2.39","","","","","","","","","","","",""
"4133","","{""P0_Q0"":null,""feedback-feel"":"""",""feedback-suggestion"":""""}","survey","148","132159","0.0-6.0","[]","","","","","","","","","","",""
